assignment_id,customer_id,generator_capacity_kwp,seed,cl_present
1,58,1.0,42,False
2,13,2.22,42,False
3,141,3.0,42,False
4,126,1.1,42,True
5,115,1.8,42,False
6,72,1.02,42,False
7,53,1.48,42,True
8,280,1.5,42,False
9,45,2.05,42,False
10,217,1.1,42,True
11,17,1.85,42,False
12,16,3.33,42,False
13,48,2.96,42,False
14,112,1.92,42,True
15,120,2.04,42,False
16,259,1.05,42,True
17,14,1.48,42,True
18,288,1.5,42,False
19,102,2.0,42,False
20,215,1.0,42,True
21,113,1.5,42,False
22,230,1.5,42,False
23,143,2.1,42,False
24,4,1.0,42,True
25,82,3.78,42,False
26,175,1.5,42,False
27,80,1.0,42,False
28,111,2.0,42,False
29,173,2.59,42,True
30,195,1.1,42,False
31,50,1.02,42,False
32,184,1.05,42,True
33,177,1.5,42,False
34,136,1.1,42,False
35,23,1.5,42,True
36,236,1.02,42,False
37,275,2.04,42,False
38,64,1.5,42,True
39,194,1.5,42,True
40,41,1.05,42,True
41,283,1.02,42,True
42,151,1.02,42,True
43,186,1.02,42,True
44,296,1.08,42,False
45,99,1.0,42,True
46,36,1.0,42,True
47,24,5.9,42,False
48,117,1.1,42,False
49,149,1.02,42,False
50,52,1.05,42,False
51,233,1.5,42,False
52,187,1.6,42,True
53,84,1.4,42,True
54,190,1.4,42,False
55,182,1.53,42,False
56,108,1.0,42,True
57,137,1.9,42,True
58,37,1.5,42,False
59,88,1.8,42,True
60,274,1.0,42,True
61,237,1.2,42,False
62,139,1.5,42,False
63,286,1.0,42,True
64,167,2.72,42,True
65,29,1.7,42,True
66,118,1.5,42,True
67,162,1.0,42,False
68,206,1.9,42,True
69,138,4.0,42,False
70,34,1.0,42,False
71,109,6.2,42,False
72,291,1.0,42,False
73,256,4.55,42,False
74,203,1.5,42,False
75,235,1.0,42,True
76,74,4.04,42,False
77,127,1.0,42,True
78,276,2.0,42,False
79,135,1.52,42,False
80,300,3.36,42,True
81,220,2.1,42,False
82,299,1.0,42,False
83,205,2.04,42,False
84,71,1.5,42,True
85,261,1.02,42,True
