event_id,scenario_id,timestamp,feeder_id,src_device,dst_device,protocol,message_type,direction,sequence,point_id,value,unit,quality,delivery_status,latency_ms,injected,replay_of_event_id,original_value,reported_value,command_id,result,label,attack_id,mitre_technique
reconnaissance_ieee123-atk001,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,SCADA_MASTER,RTU_ieee123,DNP3,QUERY,SCADA_TO_RTU,1,,,,GOOD,DELIVERED,0,1,,,,SCAN-ieee123-POINTS,SCAN,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk010,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,10,BUS_105_VPU_BC,0.9326108260723273,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk100,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,100,BUS_51_VPU_BC,0.955934260817821,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk101,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,101,BUS_51_VPU_CA,0.9287937773868352,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk102,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,102,BUS_52_VPU_AB,0.8981653861174068,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk103,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,103,BUS_52_VPU_BC,0.9546832676719086,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk104,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,104,BUS_52_VPU_CA,0.9275758931047177,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk105,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,105,BUS_53_VPU_AB,0.8945600846190574,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk106,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,106,BUS_53_VPU_BC,0.9524403307555993,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk107,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,107,BUS_53_VPU_CA,0.9246818376514617,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk108,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,108,BUS_54_VPU_AB,0.8924069974206441,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk109,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,109,BUS_54_VPU_BC,0.9510281999947274,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk011,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,11,BUS_105_VPU_CA,0.9060641124874339,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk110,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,110,BUS_54_VPU_CA,0.9229224447592098,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk111,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,111,BUS_55_VPU_AB,0.8920957952398186,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk112,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,112,BUS_55_VPU_BC,0.950296830264273,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk113,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,113,BUS_55_VPU_CA,0.9228421696531689,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk114,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,114,BUS_56_VPU_AB,0.8917946037832927,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk115,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,115,BUS_56_VPU_BC,0.9495639853922273,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
reconnaissance_ieee123-atk116,reconnaissance_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,116,BUS_56_VPU_CA,0.9227659099081356,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,reconnaissance,T0846
