event_id,scenario_id,timestamp,feeder_id,src_device,dst_device,protocol,message_type,direction,sequence,point_id,value,unit,quality,delivery_status,latency_ms,injected,replay_of_event_id,original_value,reported_value,command_id,result,label,attack_id,mitre_technique
normal_ieee37-ev00000001,normal_ieee37,2010-07-01T00:00:00,ieee37,SCADA_MASTER,RTU_ieee37,DNP3,POLL,SCADA_TO_RTU,1,,,,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000010,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,10,BUS_703_VPU_CA,0.9087266560248548,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000100,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,100,BUS_741_VPU_CA,0.8904792631555125,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000101,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,101,BUS_742_VPU_AB,0.9062053525325588,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000102,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,102,BUS_742_VPU_BC,0.8827208353387134,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000103,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,103,BUS_742_VPU_CA,0.9145593783275594,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000104,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,104,BUS_744_VPU_AB,0.8940611809581672,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000105,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,105,BUS_744_VPU_BC,0.8786100479149951,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000106,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,106,BUS_744_VPU_CA,0.9072577408525715,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000107,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,107,BUS_799_VPU_AB,0.9311139465736041,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000108,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,108,BUS_799_VPU_BC,0.9105753028472295,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000109,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,109,BUS_799_VPU_CA,0.9385237751075992,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000011,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,11,BUS_704_VPU_AB,0.8989292582128837,pu,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000110,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,110,CURRENT_line_Line_l_701_702_A,349.012,A,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000111,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,111,CURRENT_line_Line_l_701_702_B,439.57,A,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000112,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,112,CURRENT_line_Line_l_701_702_C,341.71,A,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000113,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,113,CURRENT_line_Line_l_702_703_A,270.502,A,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000114,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,114,CURRENT_line_Line_l_702_703_B,211.387,A,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000115,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,115,CURRENT_line_Line_l_702_703_C,100.707,A,GOOD,DELIVERED,0,,,,,,,NORMAL,,
normal_ieee37-ev00000116,normal_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,TELEMETRY,RTU_TO_SCADA,116,CURRENT_line_Line_l_702_705_A,4.106,A,GOOD,DELIVERED,0,,,,,,,NORMAL,,
