timestamp,feeder_id,source_p_kw,source_q_kvar,converged,n_buses,n_deenergized,vpu_min,vpu_max
2010-07-01T00:00:00,ieee37,2752.68,1697.36,1,36,0,0.8327,0.9385
2010-07-01T00:30:00,ieee37,2523.07,1516.66,1,36,0,0.8509,0.9420
2010-07-01T01:00:00,ieee37,2737.24,1698.57,1,36,0,0.8159,0.9471
2010-07-01T01:30:00,ieee37,2753.84,1711.32,1,36,0,0.8165,0.9480
2010-07-01T02:00:00,ieee37,2509.57,1526.84,1,36,0,0.8314,0.9510
2010-07-01T02:30:00,ieee37,1931.95,1116.62,1,36,0,0.8740,0.9721
2010-07-01T03:00:00,ieee37,2382.71,1428.70,1,36,0,0.8608,0.9582
2010-07-01T03:30:00,ieee37,2978.55,1858.94,1,36,0,0.8647,0.9314
2010-07-01T04:00:00,ieee37,2320.09,1376.86,1,36,0,0.8970,0.9548
2010-07-01T04:30:00,ieee37,1447.36,785.15,1,36,0,0.9277,0.9708
2010-07-01T05:00:00,ieee37,1767.53,993.03,1,36,0,0.9072,0.9689
2010-07-01T05:30:00,ieee37,2714.82,1651.38,1,36,0,0.8513,0.9450
2010-07-01T06:00:00,ieee37,4495.89,3216.51,1,36,0,0.7680,0.9189
2010-07-01T06:30:00,ieee37,4440.28,3117.33,1,36,0,0.7782,0.9117
2010-07-01T07:00:00,ieee37,4259.29,2911.77,1,36,0,0.7966,0.8934
2010-07-01T07:30:00,ieee37,4431.57,3085.57,1,36,0,0.7833,0.8787
2010-07-01T08:00:00,ieee37,3923.89,2635.67,1,36,0,0.7978,0.9108
2010-07-01T08:30:00,ieee37,3464.09,2241.09,1,36,0,0.8146,0.9217
2010-07-01T09:00:00,ieee37,2965.96,1847.85,1,36,0,0.8365,0.9331
2010-07-01T09:30:00,ieee37,3369.86,2163.64,1,36,0,0.8218,0.9286
2010-07-01T10:00:00,ieee37,2593.98,1566.93,1,36,0,0.8780,0.9370
2010-07-01T10:30:00,ieee37,2654.32,1616.65,1,36,0,0.8635,0.9409
2010-07-01T11:00:00,ieee37,2357.29,1402.88,1,36,0,0.8765,0.9474
2010-07-01T11:30:00,ieee37,1977.69,1142.69,1,36,0,0.9037,0.9601
2010-07-01T12:00:00,ieee37,1971.27,1138.11,1,36,0,0.8889,0.9603
2010-07-01T12:30:00,ieee37,1773.50,1003.92,1,36,0,0.9112,0.9619
2010-07-01T13:00:00,ieee37,1878.24,1070.54,1,36,0,0.9073,0.9566
2010-07-01T13:30:00,ieee37,1730.60,973.69,1,36,0,0.9130,0.9648
2010-07-01T14:00:00,ieee37,1688.15,944.14,1,36,0,0.9071,0.9641
2010-07-01T14:30:00,ieee37,1926.29,1096.77,1,36,0,0.9043,0.9589
2010-07-01T15:00:00,ieee37,2040.60,1173.17,1,36,0,0.9074,0.9540
