feeder_id,config_id,nphases,r11,r21,r22,r31,r32,r33,x11,x21,x22,x31,x32,x33,source
ieee123,1,3,0.086666667,0.029545455,0.088371212,0.02907197,0.029924242,0.087405303,0.204166667,0.095018939,0.198522727,0.072897727,0.080227273,0.201723485,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,2,3,0.088371212,0.02992424,0.087405303,0.029545455,0.02907197,0.086666667,0.198522727,0.080227273,0.201723485,0.095018939,0.072897727,0.204166667,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,3,3,0.087405303,0.02907197,0.086666667,0.029924242,0.029545455,0.088371212,0.201723485,0.072897727,0.204166667,0.080227273,0.095018939,0.198522727,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,4,3,0.087405303,0.029924242,0.088371212,0.02907197,0.029545455,0.086666667,0.201723485,0.080227273,0.198522727,0.072897727,0.095018939,0.204166667,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,5,3,0.088371212,0.029545455,0.086666667,0.029924242,0.02907197,0.087405303,0.198522727,0.095018939,0.204166667,0.080227273,0.072897727,0.201723485,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,6,3,0.086666667,0.02907197,0.087405303,0.029545455,0.029924242,0.088371212,0.204166667,0.072897727,0.201723485,0.095018939,0.080227273,0.198522727,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,7,2,0.086666667,0.02907197,0.087405303,,,,0.204166667,0.072897727,0.201723485,,,,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,8,2,0.086666667,0.02907197,0.087405303,,,,0.204166667,0.072897727,0.201723485,,,,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,9,1,0.251742424,,,,,,0.255208333,,,,,,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,10,1,0.251742424,,,,,,0.255208333,,,,,,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,11,1,0.251742424,,,,,,0.255208333,,,,,,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee123,12,3,0.288049242,0.09844697,0.29032197,0.093257576,0.09844697,0.288049242,0.142443182,0.052556818,0.135643939,0.040852273,0.052556818,0.142443182,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee37,721,3,0.055416667,0.012746212,0.050113636,0.006382576,0.012746212,0.055416667,0.037367424,-0.006969697,0.035984848,-0.007897727,-0.006969697,0.037367424,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee37,722,3,0.089981061,0.030852273,0.085,0.023371212,0.030852273,0.089981061,0.056306818,-0.006174242,0.050719697,-0.011496212,-0.006174242,0.056306818,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee37,723,3,0.245,0.092253788,0.246628788,0.086837121,0.092253788,0.245,0.127140152,0.039981061,0.119810606,0.028806818,0.039981061,0.127140152,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
ieee37,724,3,0.396818182,0.098560606,0.399015152,0.093295455,0.098560606,0.396818182,0.146931818,0.051856061,0.140113636,0.040208333,0.051856061,0.146931818,OpenDSS IEEELineCodes.DSS (corrected 2010-09-16)
